,mechanism,type,rate,nrow,ncol,total_memory_MB
393,EAR,MissingValueNumeric,0.75,100000,6,41.218
394,ENAR,AddDelta,0.1,1000000,10,230.289
395,EAR,MissingValueNumeric,0.5,1000,8,0.43602300000000005
396,ENAR,MissingValueNumeric,0.1,100,6,0.01918
397,ENAR,MissingValueNumeric,0.5,1000000,4,218.35
398,ENAR,AddDelta,0.1,10000,10,2.363
399,EAR,AddDelta,0.75,100000,10,54.667
400,ECAR,AddDelta,0.25,100000,10,16.701
401,ECAR,MissingValueNumeric,0.5,1000000,4,110.279
402,ECAR,MissingValueNumeric,0.25,10000,8,1.364
403,ECAR,AddDelta,0.25,1000000,10,165.832
404,ECAR,AddDelta,0.1,10000,10,1.586
405,ECAR,AddDelta,0.25,100000,8,14.985
406,EAR,MissingValueNumeric,0.25,1000000,2,215.797
407,ECAR,MissingValueNumeric,0.5,100,4,0.008141
408,EAR,AddDelta,0.5,10000,6,3.887
409,ECAR,MissingValueNumeric,0.75,100000,2,10.835
410,EAR,AddDelta,0.75,1000,4,0.38138299999999997
411,ECAR,AddDelta,0.1,1000,2,0.086422
412,ENAR,MissingValueNumeric,0.1,10000,10,2.2
413,EAR,AddDelta,0.9,100,8,0.047977
414,ENAR,MissingValueNumeric,0.75,1000,2,0.241148
415,ENAR,AddDelta,0.1,1000000,4,178.791
416,ENAR,MissingValueNumeric,0.25,1000,8,0.231383
417,ENAR,AddDelta,0.75,1000000,2,253.055
418,ECAR,MissingValueNumeric,0.5,1000000,4,110.279
419,ENAR,AddDelta,0.1,100,2,0.016148
420,ECAR,AddDelta,0.75,10000,6,1.75
421,ECAR,MissingValueNumeric,0.9,10000,2,1.328
422,ENAR,AddDelta,0.9,1000,2,0.276617
423,ENAR,AddDelta,0.75,100,2,0.01725
424,ENAR,AddDelta,0.9,10000,10,3.468
425,ENAR,MissingValueNumeric,0.5,100,10,0.021617
426,ECAR,MissingValueNumeric,0.75,100,8,0.012797000000000001
427,ENAR,MissingValueNumeric,0.75,1000,4,0.259727
428,EAR,AddDelta,0.25,100,8,0.042
429,EAR,MissingValueNumeric,0.25,100,10,0.04525
430,ENAR,AddDelta,0.1,1000,2,0.16568
431,ENAR,MissingValueNumeric,0.9,1000000,4,274.602
432,EAR,MissingValueNumeric,0.5,10000,10,4.83
433,EAR,MissingValueNumeric,0.75,1000,2,0.30307
434,ENAR,AddDelta,0.75,1000000,2,254.054
435,ENAR,AddDelta,0.25,10000,8,2.415
436,ENAR,AddDelta,0.9,100000,10,33.299
437,ECAR,AddDelta,0.9,100,10,0.014922000000000001
438,ECAR,AddDelta,0.1,10000,2,0.9212809999999999
439,ECAR,AddDelta,0.9,1000000,10,198.209
440,ENAR,AddDelta,0.5,10000,4,2.418
441,EAR,AddDelta,0.75,100,6,0.040015999999999996
442,ENAR,MissingValueNumeric,0.75,100000,6,26.513
443,ECAR,AddDelta,0.1,1000000,4,106.467
444,EAR,MissingValueNumeric,0.5,1000000,2,261.983
445,ECAR,MissingValueNumeric,0.75,100,8,0.012266
446,ENAR,MissingValueNumeric,0.5,100000,10,26.061
447,ENAR,AddDelta,0.25,10000,6,2.244
448,ENAR,AddDelta,0.75,1000,6,0.29302300000000003
449,ENAR,MissingValueNumeric,0.25,1000,2,0.178648
450,EAR,AddDelta,0.5,1000000,2,278.195
451,ECAR,AddDelta,0.5,10000,2,1.194
452,ECAR,MissingValueNumeric,0.25,100,6,0.009703
453,ECAR,AddDelta,0.75,100,10,0.014922000000000001
454,ENAR,MissingValueNumeric,0.75,1000000,8,288.34
455,ENAR,MissingValueNumeric,0.5,10000,8,2.597
456,ENAR,AddDelta,0.5,100,2,0.016461
457,EAR,AddDelta,0.25,1000,6,0.351133
458,ENAR,AddDelta,0.5,10000,8,2.76
459,ENAR,MissingValueNumeric,0.75,1000000,2,236.841
460,EAR,AddDelta,0.25,1000000,6,333.006
461,EAR,AddDelta,0.25,100000,6,32.4
462,ENAR,MissingValueNumeric,0.9,1000000,8,308.933
463,EAR,AddDelta,0.5,100,10,0.048492
464,EAR,MissingValueNumeric,0.75,100,4,0.033016
465,ENAR,MissingValueNumeric,0.75,100,4,0.017719000000000002
466,ECAR,MissingValueNumeric,0.1,100,6,0.009703
467,ENAR,MissingValueNumeric,0.1,1000,4,0.166539
468,ECAR,AddDelta,0.9,100,2,0.008688000000000001
469,ECAR,MissingValueNumeric,0.75,100,10,0.013828
470,ENAR,AddDelta,0.1,100000,2,16.202
471,EAR,AddDelta,0.9,100000,2,35.09
472,ENAR,AddDelta,0.25,10000,8,2.415
473,ECAR,MissingValueNumeric,0.75,100000,8,15.985
474,ECAR,MissingValueNumeric,0.25,100000,6,11.646
475,EAR,MissingValueNumeric,0.9,1000,10,0.577086
476,ENAR,AddDelta,0.5,100000,2,21.817
477,ENAR,AddDelta,0.9,100000,6,29.866
478,ECAR,AddDelta,0.25,100,8,0.012359
479,EAR,MissingValueNumeric,0.5,1000000,10,483.235
480,ENAR,AddDelta,0.75,1000,2,0.257867
481,EAR,AddDelta,0.25,10000,8,3.923
482,ECAR,AddDelta,0.75,100,2,0.008688000000000001
483,ECAR,MissingValueNumeric,0.5,100,4,0.008141
484,ECAR,MissingValueNumeric,0.1,1000,8,0.122422
485,EAR,AddDelta,0.9,1000,6,0.46793
486,EAR,AddDelta,0.75,10000,6,4.366
487,ECAR,AddDelta,0.5,100000,2,11.147
488,ECAR,MissingValueNumeric,0.9,10000,2,1.328
489,ENAR,AddDelta,0.75,1000000,6,288.388
