,mechanism,type,rate,nrow,ncol,seconds_runtime
379,EAR,AddDelta,0.5,10000,6,0.009284496307373
380,EAR,AddDelta,0.75,10000,6,0.0115277767181396
381,EAR,AddDelta,0.75,10000,6,0.0106575489044189
382,EAR,AddDelta,0.75,10000,6,0.0102698802947998
383,EAR,AddDelta,0.75,10000,6,0.0101940631866455
384,EAR,AddDelta,0.75,10000,6,0.0103864669799804
385,EAR,AddDelta,0.75,10000,6,0.0102479457855224
386,EAR,AddDelta,0.75,10000,6,0.0103344917297363
387,EAR,AddDelta,0.75,10000,6,0.0103065967559814
388,EAR,AddDelta,0.75,10000,6,0.0106394290924072
389,EAR,AddDelta,0.75,10000,6,0.0105972290039062
390,EAR,AddDelta,0.9,10000,6,0.0119743347167968
391,EAR,AddDelta,0.9,10000,6,0.0104351043701171
392,EAR,AddDelta,0.9,10000,6,0.0102624893188476
393,EAR,AddDelta,0.9,10000,6,0.010887861251831
394,EAR,AddDelta,0.9,10000,6,0.0108299255371093
395,EAR,AddDelta,0.9,10000,6,0.010310411453247
396,EAR,AddDelta,0.9,10000,6,0.0108377933502197
397,EAR,AddDelta,0.9,10000,6,0.0108647346496582
398,EAR,AddDelta,0.9,10000,6,0.0107738971710205
399,EAR,AddDelta,0.9,10000,6,0.0105330944061279
400,EAR,AddDelta,0.1,10000,8,0.0101118087768554
401,EAR,AddDelta,0.1,10000,8,0.0094428062438964
402,EAR,AddDelta,0.1,10000,8,0.0094130039215087
403,EAR,AddDelta,0.1,10000,8,0.0094161033630371
404,EAR,AddDelta,0.1,10000,8,0.0092842578887939
405,EAR,AddDelta,0.1,10000,8,0.0095558166503906
406,EAR,AddDelta,0.1,10000,8,0.0093204975128173
407,EAR,AddDelta,0.1,10000,8,0.0092921257019042
408,EAR,AddDelta,0.1,10000,8,0.0092072486877441
409,EAR,AddDelta,0.1,10000,8,0.0087690353393554
410,EAR,AddDelta,0.25,10000,8,0.0119059085845947
411,EAR,AddDelta,0.25,10000,8,0.0103392601013183
412,EAR,AddDelta,0.25,10000,8,0.0104827880859375
413,EAR,AddDelta,0.25,10000,8,0.0103993415832519
414,EAR,AddDelta,0.25,10000,8,0.0105845928192138
415,EAR,AddDelta,0.25,10000,8,0.0103354454040527
416,EAR,AddDelta,0.25,10000,8,0.0103490352630615
417,EAR,AddDelta,0.25,10000,8,0.0107100009918212
418,EAR,AddDelta,0.25,10000,8,0.010446548461914
419,EAR,AddDelta,0.25,10000,8,0.0103707313537597
420,EAR,AddDelta,0.5,10000,8,0.01121187210083
421,EAR,AddDelta,0.5,10000,8,0.0091824531555175
422,EAR,AddDelta,0.5,10000,8,0.0093464851379394
423,EAR,AddDelta,0.5,10000,8,0.0092942714691162
424,EAR,AddDelta,0.5,10000,8,0.0093052387237548
425,EAR,AddDelta,0.5,10000,8,0.0095136165618896
426,EAR,AddDelta,0.5,10000,8,0.0093028545379638
427,EAR,AddDelta,0.5,10000,8,0.0097179412841796
428,EAR,AddDelta,0.5,10000,8,0.0094258785247802
429,EAR,AddDelta,0.5,10000,8,0.0094256401062011
430,EAR,AddDelta,0.75,10000,8,0.0128026008605957
431,EAR,AddDelta,0.75,10000,8,0.0112366676330566
432,EAR,AddDelta,0.75,10000,8,0.0111031532287597
433,EAR,AddDelta,0.75,10000,8,0.0109994411468505
434,EAR,AddDelta,0.75,10000,8,0.0109579563140869
435,EAR,AddDelta,0.75,10000,8,0.0112197399139404
436,EAR,AddDelta,0.75,10000,8,0.0110983848571777
437,EAR,AddDelta,0.75,10000,8,0.0112359523773193
438,EAR,AddDelta,0.75,10000,8,0.0110547542572021
439,EAR,AddDelta,0.75,10000,8,0.0109410285949707
440,EAR,AddDelta,0.9,10000,8,0.0127484798431396
441,EAR,AddDelta,0.9,10000,8,0.0114781856536865
442,EAR,AddDelta,0.9,10000,8,0.0114707946777343
443,EAR,AddDelta,0.9,10000,8,0.0114874839782714
444,EAR,AddDelta,0.9,10000,8,0.0109641551971435
445,EAR,AddDelta,0.9,10000,8,0.011307954788208
446,EAR,AddDelta,0.9,10000,8,0.0114650726318359
447,EAR,AddDelta,0.9,10000,8,0.0112793445587158
448,EAR,AddDelta,0.9,10000,8,0.011322021484375
449,EAR,AddDelta,0.9,10000,8,0.0112247467041015
450,EAR,AddDelta,0.1,10000,10,0.0097930431365966
451,EAR,AddDelta,0.1,10000,10,0.0090689659118652
452,EAR,AddDelta,0.1,10000,10,0.0088050365447998
453,EAR,AddDelta,0.1,10000,10,0.0089263916015625
454,EAR,AddDelta,0.1,10000,10,0.009324312210083
455,EAR,AddDelta,0.1,10000,10,0.0095195770263671
456,EAR,AddDelta,0.1,10000,10,0.0094554424285888
457,EAR,AddDelta,0.1,10000,10,0.0099735260009765
458,EAR,AddDelta,0.1,10000,10,0.0105299949645996
459,EAR,AddDelta,0.1,10000,10,0.0123400688171386
460,EAR,AddDelta,0.25,1000000,2,1.0120086669921875
461,EAR,AddDelta,0.25,1000000,2,0.7065870761871338
462,EAR,AddDelta,0.25,1000000,2,0.6850402355194092
463,EAR,AddDelta,0.25,1000000,2,0.6965141296386719
